Date and Time,Interval kWh,Cost
2023-01,4.151,0.618499
2023-02,312.476,46.558924
2023-03,341.698,50.913002
2023-04,344.624,51.348976
2023-05,368.505,54.907245
2023-06,728.484,108.544116
2023-07,754.953,112.487997
2023-08,780.504,116.295096
2023-09,438.099,65.276751
2023-10,369.957,55.123593
2023-11,336.412,50.125388
2023-12,364.709,54.341641
2024-01,430.595,64.158655
2024-02,313.086,46.649814
2024-03,288.811,43.032839
2024-04,266.063,39.643387
2024-05,277.343,41.324107
2024-06,548.788,81.769412
2024-07,866.58,129.12042
2024-08,734.695,109.469555
2024-09,570.091,84.943559
2024-10,381.257,56.807293
2024-11,858.786,127.959114
2024-12,1235.46,184.08354
2025-01,967.678,144.184022
2025-02,1047.311,156.049339
2025-03,882.444,131.484156
2025-04,849.602,126.590698
2025-05,926.322,138.021978
2025-06,1117.48,166.50452
2025-07,1497.144,223.074456
2025-08,955.137,142.315413